sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
11172017-A01	11172017	A01	b4	1	1.60369117	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A02	11172017	A02	b4	1	1.18565341	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A03	11172017	A03	b4	1	1.076882046	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A04	11172017	A04	b4	2	2.304154953	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A05	11172017	A05	b4	1	3.152443276	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A06	11172017	A06	b4	1	3.16635495	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A07	11172017	A07	b4	1	0.938009302	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A08	11172017	A08	b4	1	2.030124412	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A09	11172017	A09	b4	1	1.979531863	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A10	11172017	A10	b4	1	2.227319608	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A11	11172017	A11	b4	1	1.847082805	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-A12	11172017	A12	b4	1	0.564951386	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-B01	11172017	B01	b4	1	0.663539855	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-B02	11172017	B02	b4	2	3.053066479	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-B03	11172017	B03	b4	1	2.313757355	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-B04	11172017	B04	b4	1	3.1186338	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
11172017-B05	11172017	B05	b4	1	1.918986857	TRUE	NA18913	NA19144	NA19192	NA19207	0	0	50x dilution	1
