sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
10062017-A01	10062017	A01	1	0.199621375	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A02	10062017	A02	1	2.282899137	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A03	10062017	A03	1	3.820704109	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A04	10062017	A04	1	1.755369227	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A05	10062017	A05	1	1.923226544	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A06	10062017	A06	1	0.922159617	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A07	10062017	A07	1	3.640478924	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A08	10062017	A08	1	3.087190108	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A09	10062017	A09	2	2.885423755	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A10	10062017	A10	1	1.972774851	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A11	10062017	A11	1	2.439784591	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-A12	10062017	A12	1	5.572513575	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B01	10062017	B01	1	0.430705322	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B02	10062017	B02	1	0.914310686	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B03	10062017	B03	3	0.92844171	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B04	10062017	B04	1	1.484558062	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B05	10062017	B05	1	2.1441354	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B06	10062017	B06	1	1.465469787	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B07	10062017	B07	1	2.999615056	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B08	10062017	B08	1	2.890231383	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B09	10062017	B09	2	3.558613413	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B10	10062017	B10	1	2.000268333	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B11	10062017	B11	1	4.074113008	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-B12	10062017	B12	1	4.146540501	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C01	10062017	C01	1	1.253940498	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C02	10062017	C02	1	0.862558146	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C03	10062017	C03	1	4.520769468	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C04	10062017	C04	1	1.949334619	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C05	10062017	C05	1	1.723352399	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C06	10062017	C06	2	2.211252166	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C07	10062017	C07	1	0.710906861	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C08	10062017	C08	1	6.151959276	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C09	10062017	C09	1	2.007008527	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C10	10062017	C10	1	1.650494057	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C11	10062017	C11	1	2.619715841	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-C12	10062017	C12	1	4.131945377	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D01	10062017	D01	1	2.019258284	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D02	10062017	D02	1	1.836309886	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D03	10062017	D03	1	4.884957306	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D04	10062017	D04	1	1.84476071	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D05	10062017	D05	1	1.171585222	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D06	10062017	D06	1	1.791978744	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D07	10062017	D07	1	4.562148792	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D08	10062017	D08	1	4.885221684	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D09	10062017	D09	1	3.721616679	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D10	10062017	D10	1	1.553807625	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D11	10062017	D11	1	0.946124426	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-D12	10062017	D12	1	1.729586701	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E01	10062017	E01	1	1.672109428	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E02	10062017	E02	1	6.472613815	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E03	10062017	E03	1	5.95057592	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E04	10062017	E04	1	5.521000624	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E05	10062017	E05	1	1.135935465	FALSE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E06	10062017	E06	1	1.072401443	FALSE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E07	10062017	E07	1	3.598017335	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E08	10062017	E08	1	6.008513535	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E09	10062017	E09	1	5.124114194	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E10	10062017	E10	1	2.488781512	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E11	10062017	E11	1	1.525687154	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-E12	10062017	E12	0	0.846378998	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F01	10062017	F01	0	0.906721399	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F02	10062017	F02	1	2.129008103	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F03	10062017	F03	1	6.35895436	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F04	10062017	F04	1	3.804174142	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F05	10062017	F05	2	2.508969221	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F06	10062017	F06	1	5.088659283	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F07	10062017	F07	1	1.630934358	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F08	10062017	F08	1	1.801742349	FALSE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F09	10062017	F09	1	5.659843389	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F10	10062017	F10	1	2.642278875	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F11	10062017	F11	1	4.208345092	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-F12	10062017	F12	1	1.617284516	FALSE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G01	10062017	G01	1	0.628315498	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G02	10062017	G02	1	4.939839631	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G03	10062017	G03	1	5.102307642	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G04	10062017	G04	1	0.745105574	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G05	10062017	G05	1	3.507637036	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G06	10062017	G06	1	4.481706721	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G07	10062017	G07	1	2.216587109	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G08	10062017	G08	1	6.01003542	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G09	10062017	G09	1	2.750769996	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G10	10062017	G10	1	3.696658269	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G11	10062017	G11	1	4.17520185	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-G12	10062017	G12	1	1.521559598	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H01	10062017	H01	1	0.689947181	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H02	10062017	H02	2	3.528889774	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H03	10062017	H03	1	4.672577918	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H04	10062017	H04	1	0.721997561	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H05	10062017	H05	0	0.73578711	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H06	10062017	H06	1	1.417214161	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H07	10062017	H07	1	3.702134173	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H08	10062017	H08	1	2.100599818	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H09	10062017	H09	1	4.599202756	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H10	10062017	H10	0	0.813762871	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H11	10062017	H11	1	4.844552906	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
10062017-H12	10062017	H12	0	0.974647955	TRUE	NA18489	NA19093	NA19114	NA19116	0	0	50x dilution	2
