sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
10102017-A01	10102017	A01	1	2.126303209	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A02	10102017	A02	1	2.092087837	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A03	10102017	A03	1	2.375295068	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A04	10102017	A04	1	0.745732483	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A05	10102017	A05	1	2.018719532	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A06	10102017	A06	1	1.90924131	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A07	10102017	A07	1	2.031455978	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A08	10102017	A08	1	2.091076796	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A09	10102017	A09	1	2.131509868	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A10	10102017	A10	1	2.35902707	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A11	10102017	A11	1	1.981036394	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-A12	10102017	A12	1	2.284050651	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B01	10102017	B01	1	1.865266889	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B02	10102017	B02	1	2.217524489	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B03	10102017	B03	1	1.286763454	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B04	10102017	B04	2	2.539147757	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B05	10102017	B05	1	2.048528461	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B06	10102017	B06	1	2.350032193	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B07	10102017	B07	1	2.251280101	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B08	10102017	B08	1	2.120423528	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B09	10102017	B09	1	2.344330047	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B10	10102017	B10	1	2.072504596	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B11	10102017	B11	1	1.891928078	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
10102017-B12	10102017	B12	1	2.096819516	TRUE	NA19101	NA19116	NA19153	NA19238	0	0	50x dilution	2
