sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
08282017-A01	08282017	A01	b2	1	1.712759293	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A02	08282017	A02	b2	1	1.925719289	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A03	08282017	A03	b2	1	2.070536904	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A04	08282017	A04	b2	1	1.963454591	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A05	08282017	A05	b2	1	1.419504979	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A06	08282017	A06	b2	1	1.438226619	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A07	08282017	A07	b2	1	0.554235834	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A08	08282017	A08	b2	1	0.029133729	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A09	08282017	A09	b2	1	1.278049198	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A10	08282017	A10	b2	1	1.113250223	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A11	08282017	A11	b2	1	1.154777285	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-A12	08282017	A12	b2	0	0.267301309	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B01	08282017	B01	b2	1	1.520528329	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B02	08282017	B02	b2	1	0.613821525	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B03	08282017	B03	b2	1	2.043293566	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B04	08282017	B04	b2	0	0.21721914	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B05	08282017	B05	b2	1	2.71640382	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B06	08282017	B06	b2	1	1.052191087	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B07	08282017	B07	b2	1	0.519779758	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B08	08282017	B08	b2	1	1.176001435	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B09	08282017	B09	b2	1	1.533873809	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B10	08282017	B10	b2	1	1.632858244	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B11	08282017	B11	b2	1	1.725689558	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-B12	08282017	B12	b2	1	1.138448581	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C01	08282017	C01	b2	1	1.936032661	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C02	08282017	C02	b2	1	1.818275509	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C03	08282017	C03	b2	1	0.431915659	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C04	08282017	C04	b2	1	0.30076212	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C05	08282017	C05	b2	1	1.34792624	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C06	08282017	C06	b2	1	1.479837559	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C07	08282017	C07	b2	1	1.084811006	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C08	08282017	C08	b2	1	1.62071042	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C09	08282017	C09	b2	1	1.593907919	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C10	08282017	C10	b2	1	2.038968977	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C11	08282017	C11	b2	1	2.312018155	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-C12	08282017	C12	b2	1	1.442478774	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-D01	08282017	D01	b2	2	0.993664239	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-D02	08282017	D02	b2	1	0.309043368	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-D03	08282017	D03	b2	1	0.620286401	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-D04	08282017	D04	b2	1	0.57377333	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-D05	08282017	D05	b2	1	1.629358741	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-D06	08282017	D06	b2	0	0.285045217	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
08282017-D07	08282017	D07	b2	1	1.582108927	TRUE	NA18853	NA18862	NA18507	NA19190	0	0	50x dilution	2
