sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03312017-A01	03312017	A01	1	2.046145277	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A02	03312017	A02	1	1.609715372	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A03	03312017	A03	2	0.852623211	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A04	03312017	A04	0	0.400300483	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A05	03312017	A05	2	0.78973767	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A06	03312017	A06	1	0.213569225	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A07	03312017	A07	1	3.474573734	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A08	03312017	A08	1	1.232088503	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A09	03312017	A09	1	1.278683168	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A10	03312017	A10	1	1.730997174	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A11	03312017	A11	1	0.718649096	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-A12	03312017	A12	1	0.995287518	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B01	03312017	B01	1	0.352068299	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B02	03312017	B02	1	0.421778829	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B03	03312017	B03	1	0.798251917	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B04	03312017	B04	1	2.908501149	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B05	03312017	B05	1	1.446555699	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B06	03312017	B06	1	1.322857772	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B07	03312017	B07	1	0.302087453	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B08	03312017	B08	1	2.017391264	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B09	03312017	B09	1	1.677462576	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B10	03312017	B10	1	2.420460051	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B11	03312017	B11	1	1.220145271	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-B12	03312017	B12	1	2.7823708	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C01	03312017	C01	1	0.347687235	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C02	03312017	C02	1	0.661450473	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C03	03312017	C03	1	3.104643856	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C04	03312017	C04	1	2.797947369	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C05	03312017	C05	1	3.663083201	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C06	03312017	C06	1	1.60976175	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C07	03312017	C07	1	1.354006556	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C08	03312017	C08	1	1.416439006	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C09	03312017	C09	1	2.582905598	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C10	03312017	C10	1	1.405228435	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C11	03312017	C11	1	1.971497482	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-C12	03312017	C12	1	0.073489079	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D01	03312017	D01	1	0.554454751	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D02	03312017	D02	1	0.954349406	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D03	03312017	D03	1	1.716142179	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D04	03312017	D04	1	1.285403836	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D05	03312017	D05	1	0.548617954	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D06	03312017	D06	1	1.353425083	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D07	03312017	D07	1	1.536368995	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D08	03312017	D08	1	1.614884664	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D09	03312017	D09	1	0.9509566	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D10	03312017	D10	1	1.381974057	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D11	03312017	D11	1	1.272989452	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-D12	03312017	D12	1	0.68636552	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E01	03312017	E01	1	0.622510746	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E02	03312017	E02	1	0.778140528	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E03	03312017	E03	1	0.923584542	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E04	03312017	E04	1	0.924836494	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E05	03312017	E05	1	0.387271925	FALSE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E06	03312017	E06	1	0.590876966	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E07	03312017	E07	1	1.198759382	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E08	03312017	E08	1	1.012208257	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E09	03312017	E09	1	1.071634003	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E10	03312017	E10	1	1.253659683	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E11	03312017	E11	0	0.08203753	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-E12	03312017	E12	1	1.056549386	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F01	03312017	F01	1	1.322338448	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F02	03312017	F02	1	0.847883065	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F03	03312017	F03	1	1.074772318	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F04	03312017	F04	1	0.635942691	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F05	03312017	F05	1	1.245779166	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F06	03312017	F06	1	1.07792582	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F07	03312017	F07	1	1.400295787	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F08	03312017	F08	1	1.322829922	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F09	03312017	F09	1	1.009435935	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F10	03312017	F10	1	0.587988346	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F11	03312017	F11	1	0.991363424	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-F12	03312017	F12	1	0.462347094	FALSE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G01	03312017	G01	1	1.902663589	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G02	03312017	G02	1	1.184193735	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G03	03312017	G03	1	1.276794692	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G04	03312017	G04	1	1.419953311	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G05	03312017	G05	1	1.491510824	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G06	03312017	G06	1	1.272499436	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G07	03312017	G07	1	0.825702634	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G08	03312017	G08	1	0.302162422	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G09	03312017	G09	1	0.749896997	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G10	03312017	G10	1	0.146889772	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G11	03312017	G11	1	1.236200044	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-G12	03312017	G12	1	1.254208666	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H01	03312017	H01	1	0.019418079	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H02	03312017	H02	1	0.108658981	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H03	03312017	H03	1	0.055118004	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H04	03312017	H04	1	0	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H05	03312017	H05	1	1.014041119	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H06	03312017	H06	1	0.075686918	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H07	03312017	H07	1	0.039473214	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H08	03312017	H08	0	0.126459034	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H09	03312017	H09	1	0.596479954	FALSE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H10	03312017	H10	0	0.055663568	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H11	03312017	H11	1	0.958407827	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
03312017-H12	03312017	H12	1	1.722161754	TRUE	NA18502	NA18520	NA19201	NA18856	5000	25000	NA	3
