sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
08292017-A01	08292017	A01	1	0.828016601	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A02	08292017	A02	1	1.37901456	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A03	08292017	A03	1	0.34450746	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A04	08292017	A04	1	2.211286394	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A05	08292017	A05	1	1.299544831	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A06	08292017	A06	1	1.061371968	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A07	08292017	A07	1	1.408952071	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A08	08292017	A08	1	1.293825647	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A09	08292017	A09	1	0.484028938	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A10	08292017	A10	1	0.879188053	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A11	08292017	A11	1	1.022469955	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-A12	08292017	A12	1	0.382670145	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B01	08292017	B01	2	1.875644434	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B02	08292017	B02	1	1.21378409	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B03	08292017	B03	2	1.078040605	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B04	08292017	B04	1	1.858554051	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B05	08292017	B05	1	1.791429251	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B06	08292017	B06	1	1.656229136	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B07	08292017	B07	1	0.692312034	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B08	08292017	B08	1	0.481276554	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B09	08292017	B09	1	2.077689238	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B10	08292017	B10	1	1.681212026	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B11	08292017	B11	1	1.676804262	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-B12	08292017	B12	1	0.781584878	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
08292017-C01	08292017	C01	1	1.744538043	TRUE	NA18501	NA18507	NA19190	NA19210	0	0	50x dilution	3
