sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
11152017-A01	11152017	A01	b4	1	0.533153499	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A02	11152017	A02	b4	2	1.890257782	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A03	11152017	A03	b4	1	1.796885363	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A04	11152017	A04	b4	1	0.697033455	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A05	11152017	A05	b4	1	2.182191023	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A06	11152017	A06	b4	1	1.521907323	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A07	11152017	A07	b4	1	2.110685754	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A08	11152017	A08	b4	2	1.484884972	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A09	11152017	A09	b4	1	1.58189871	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A10	11152017	A10	b4	2	1.588316113	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A11	11152017	A11	b4	1	2.121351856	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-A12	11152017	A12	b4	1	1.593732929	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B01	11152017	B01	b4	1	0.792469261	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B02	11152017	B02	b4	1	0.991123086	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B03	11152017	B03	b4	1	1.965956292	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B04	11152017	B04	b4	1	2.17898285	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B05	11152017	B05	b4	1	2.13516051	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B06	11152017	B06	b4	1	2.145924277	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B07	11152017	B07	b4	1	0.584219652	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B08	11152017	B08	b4	1	1.068324012	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B09	11152017	B09	b4	1	2.270668418	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B10	11152017	B10	b4	1	0.65898814	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B11	11152017	B11	b4	0	0.33200306	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-B12	11152017	B12	b4	1	1.3173598	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-C01	11152017	C01	b4	1	1.703705527	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-C02	11152017	C02	b4	1	0.699824957	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-C03	11152017	C03	b4	2	1.185119524	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-C04	11152017	C04	b4	1	0.514062889	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
11152017-C05	11152017	C05	b4	1	1.4946451	TRUE	NA18507	NA18907	NA19206	NA19144	0	0	50x dilution	1
